"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U710","2019-07-26 00:00:00","1942.000","0.000","0.000","15.800","0.990","808.100","-99.000","32.000","-99.000","-99.000","-99.000","20.300","","15.600",""
"C0Z100","2019-07-26 00:00:00","36.000","0.000","0.000","26.100","0.970","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.400",""
"C0V360","2019-07-26 00:00:00","94.000","0.000","0.000","25.100","0.960","998.100","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","23.700",""
"C0M780","2019-07-26 00:00:00","30.000","0.000","0.000","28.500","0.850","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.900",""
"C0G850","2019-07-26 00:00:00","62.000","136.000","1.400","29.400","0.820","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","26.900",""
"C0K530","2019-07-26 00:00:00","12.000","189.000","1.600","28.500","0.900","1006.700","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.600",""
"C0V750","2019-07-26 00:00:00","50.000","182.000","1.000","29.400","1.000","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","27.300",""
"C0M830","2019-07-26 00:00:00","540.000","339.000","0.300","23.900","0.990","950.300","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","21.500",""
"C0T790","2019-07-26 00:00:00","2830.000","0.000","0.000","12.200","0.930","728.500","-99.000","0.000","-99.000","-99.000","-99.000","19.000","","11.200",""
"C0S730","2019-07-26 00:00:00","110.000","67.000","1.600","26.800","0.870","995.500","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","26.800",""
"C0F0D0","2019-07-26 00:00:00","3171.000","75.000","0.700","9.800","0.750","699.500","-99.000","21.500","-99.000","-99.000","-99.000","18.100","","9.500",""
"C0F9X0","2019-07-26 00:00:00","166.000","200.000","2.300","27.600","0.890","989.800","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","25.600",""
"C0F9Q0","2019-07-26 00:00:00","149.000","113.000","1.000","27.700","0.890","990.400","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.700",""
"C0E780","2019-07-26 00:00:00","160.000","230.000","0.300","27.800","0.830","989.500","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","26.300",""
"C0SA80","2019-07-26 00:00:00","136.000","0.000","0.200","26.000","0.870","993.100","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","23.900",""
"C0T960","2019-07-26 00:00:00","120.000","0.000","0.000","25.400","0.990","995.300","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","24.700",""
"C0UA50","2019-07-26 00:00:00","808.000","181.000","1.500","23.300","0.990","920.700","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","22.000",""
"C0U860","2019-07-26 00:00:00","5.000","298.000","0.500","26.400","0.950","1007.500","-99.000","4.000","-99.000","-99.000","-99.000","32.800","","26.400",""
"C0F0C0","2019-07-26 00:00:00","983.000","0.000","0.000","21.700","0.990","901.900","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","20.600",""
"C0D480","2019-07-26 00:00:00","223.000","0.000","0.000","24.800","0.970","982.200","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","23.700",""
"C0K291","2019-07-26 00:00:00","8.000","195.000","1.200","29.300","0.840","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.500",""
"C0X170","2019-07-26 00:00:00","50.000","166.000","0.800","28.800","0.800","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.900",""
"C0AH30","2019-07-26 00:00:00","755.000","175.000","2.900","23.700","0.860","925.000","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","22.900",""
"C0R130","2019-07-26 00:00:00","1040.000","103.000","1.100","21.500","0.970","895.200","-99.000","0.000","-99.000","-99.000","-99.000","28.200","","19.700",""
"C0M790","2019-07-26 00:00:00","15.000","0.000","0.000","28.200","0.880","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.300",""
"C0E530","2019-07-26 00:00:00","341.000","217.000","1.000","26.000","0.890","969.700","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","24.600",""
"C0I520","2019-07-26 00:00:00","3860.000","-99.000","-99.000","8.300","0.600","644.200","-99.000","-99.000","-99.000","-99.000","-99.000","13.700","","7.100",""
"C0C590","2019-07-26 00:00:00","72.000","0.000","0.200","26.500","0.910","998.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.700",""
"C0G780","2019-07-26 00:00:00","27.000","203.000","1.200","28.700","0.840","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","27.300",""
"C0F9R0","2019-07-26 00:00:00","20.000","195.000","0.400","28.800","1.000","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","27.200",""
"C0E820","2019-07-26 00:00:00","220.000","198.000","2.200","26.100","0.850","983.300","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","24.600",""
"C0C480","2019-07-26 00:00:00","105.000","0.000","0.000","28.700","0.780","996.000","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","27.000",""
"C0S900","2019-07-26 00:00:00","27.000","242.000","2.700","29.300","0.740","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","28.300",""
"C0SA00","2019-07-26 00:00:00","466.000","294.000","1.400","24.000","0.970","956.600","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","22.300",""
"C0V730","2019-07-26 00:00:00","33.000","86.000","0.700","29.100","0.890","1005.200","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","26.700",""
"C0G730","2019-07-26 00:00:00","27.000","175.000","0.900","28.100","0.940","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.200",""
"C0Z300","2019-07-26 00:00:00","182.000","0.000","0.100","26.200","0.940","989.800","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","24.800",""
"C0H9A0","2019-07-26 00:00:00","1595.000","248.000","0.500","18.300","0.990","845.100","-99.000","1.500","-99.000","-99.000","-99.000","25.600","","16.500",""
"C0S840","2019-07-26 00:00:00","22.000","257.000","1.600","26.200","0.890","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","24.800",""
"C0Z150","2019-07-26 00:00:00","27.000","0.000","0.000","27.900","0.840","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","26.300",""
"C0W170","2019-07-26 00:00:00","42.000","172.000","2.300","26.800","0.930","1000.600","-99.000","0.000","7.600","160.000","","29.900","","26.700",""
"C0E540","2019-07-26 00:00:00","32.000","222.000","1.500","27.900","0.850","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.900",""
"C0D660","2019-07-26 00:00:00","65.000","191.000","1.500","28.100","0.800","1000.300","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.500",""
"C0U650","2019-07-26 00:00:00","442.000","281.000","0.900","24.700","0.990","959.900","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","24.200",""
